CONDITION,OUTCOME,Year,Geography,GeoType,GeoName,GeoID,Region,District,Total,TotalRate,AARate,Age0_14,Age0_14Rate,Age15_24,Age15_24Rate,Age25_44,Age25_44Rate,Age45_64,Age45_64Rate,Age65Plus,Age65PlusRate,Total_Male,Total_MaleRate,AA_TotalMaleRate,Age0_14_Male,Age0_14_MaleRate,Age15_24_Male,Age15_24_MaleRate,Age25_44_Male,Age25_44_MaleRate,Age45_64_Male,Age45_64_MaleRate,Age65Plus_Male,Age65Plus_MaleRate,Total_Female,Total_FemaleRate,AA_TotalFemaleRate,Age0_14_Female,Age0_14_FemaleRate,Age15_24_Female,Age15_24_FemaleRate,Age25_44_Female,Age25_44_FemaleRate,Age45_64_Female,Age45_64_FemaleRate,Age45Plus_Female,Age45Plus_FemaleRate,Age65Plus_Female,Age65Plus_FemaleRate,White_Total,White_TotalRate,White_Age0_14,White_Age0_14Rate,White_Age15_24,White_Age15_24Rate,White_Age25_44,White_Age25_44Rate,White_Age45_64,White_Age45_64Rate,White_Age65Plus,White_Age65PlusRate,White_Total_Male,White_Total_MaleRate,White_Age0_14_Male,White_Age0_14_MaleRate,White_Age15_24_Male,White_Age15_24_MaleRate,White_Age25_44_Male,White_Age25_44_MaleRate,White_Age45_64_Male,White_Age45_64_MaleRate,White_Age65Plus_Male,White_Age65Plus_MaleRate,White_Total_Female,White_Total_FemaleRate,White_Age0_14_Female,White_Age0_14_FemaleRate,White_Age15_24_Female,White_Age15_24_FemaleRate,White_Age25_44_Female,White_Age25_44_FemaleRate,White_Age45_64_Female,White_Age45_64_FemaleRate,White_Age45Plus_Female,White_Age45Plus_FemaleRate,White_Age65Plus_Female,White_Age65Plus_FemaleRate,Black_Total,Black_TotalRate,Black_Age0_14,Black_Age0_14Rate,Black_Age15_24,Black_Age15_24Rate,Black_Age25_44,Black_Age25_44Rate,Black_Age45_64,Black_Age45_64Rate,Black_Age65Plus,Black_Age65PlusRate,Black_Total_Male,Black_Total_MaleRate,Black_Age0_14_Male,Black_Age0_14_MaleRate,Black_Age15_24_Male,Black_Age15_24_MaleRate,Black_Age25_44_Male,Black_Age25_44_MaleRate,Black_Age45_64_Male,Black_Age45_64_MaleRate,Black_Age65Plus_Male,Black_Age65Plus_MaleRate,Black_Total_Female,Black_Total_FemaleRate,Black_Age0_14_Female,Black_Age0_14_FemaleRate,Black_Age15_24_Female,Black_Age15_24_FemaleRate,Black_Age25_44_Female,Black_Age25_44_FemaleRate,Black_Age45_64_Female,Black_Age45_64_FemaleRate,Black_Age45Plus_Female,Black_Age45Plus_FemaleRate,Black_Age65Plus_Female,Black_Age65Plus_FemaleRate,Hispanic_Total,Hispanic_TotalRate,Hispanic_Age0_14,Hispanic_Age0_14Rate,Hispanic_Age15_24,Hispanic_Age15_24Rate,Hispanic_Age25_44,Hispanic_Age25_44Rate,Hispanic_Age45_64,Hispanic_Age45_64Rate,Hispanic_Age65Plus,Hispanic_Age65PlusRate,Hispanic_Total_Male,Hispanic_Total_MaleRate,Hispanic_Age0_14_Male,Hispanic_Age0_14_MaleRate,Hispanic_Age15_24_Male,Hispanic_Age15_24_MaleRate,Hispanic_Age25_44_Male,Hispanic_Age25_44_MaleRate,Hispanic_Age45_64_Male,Hispanic_Age45_64_MaleRate,Hispanic_Age65Plus_Male,Hispanic_Age65Plus_MaleRate,Hispanic_Total_Female,Hispanic_Total_FemaleRate,Hispanic_Age0_14_Female,Hispanic_Age0_14_FemaleRate,Hispanic_Age15_24_Female,Hispanic_Age15_24_FemaleRate,Hispanic_Age25_44_Female,Hispanic_Age25_44_FemaleRate,Hispanic_Age45_64_Female,Hispanic_Age45_64_FemaleRate,Hispanic_Age45Plus_Female,Hispanic_Age45Plus_FemaleRate,Hispanic_Age65Plus_Female,Hispanic_Age65Plus_FemaleRate,API_Total,API_TotalRate,API_Age0_14,API_Age0_14Rate,API_Age15_24,API_Age15_24Rate,API_Age25_44,API_Age25_44Rate,API_Age45_64,API_Age45_64Rate,API_Age65Plus,API_Age65PlusRate,API_Total_Male,API_Total_MaleRate,API_Age0_14_Male,API_Age0_14_MaleRate,API_Age15_24_Male,API_Age15_24_MaleRate,API_Age25_44_Male,API_Age25_44_MaleRate,API_Age45_64_Male,API_Age45_64_MaleRate,API_Age65Plus_Male,API_Age65Plus_MaleRate,API_Total_Female,API_Total_FemaleRate,API_Age0_14_Female,API_Age0_14_FemaleRate,API_Age15_24_Female,API_Age15_24_FemaleRate,API_Age25_44_Female,API_Age25_44_FemaleRate,API_Age45_64_Female,API_Age45_64_FemaleRate,API_Age45Plus_Female,API_Age45Plus_FemaleRate,API_Age65Plus_Female,API_Age65Plus_FemaleRate,AIAN_Total,AIAN_TotalRate,AIAN_Age0_14,AIAN_Age0_14Rate,AIAN_Age15_24,AIAN_Age15_24Rate,AIAN_Age25_44,AIAN_Age25_44Rate,AIAN_Age45_64,AIAN_Age45_64Rate,AIAN_Age65Plus,AIAN_Age65PlusRate,AIAN_Total_Male,AIAN_Total_MaleRate,AIAN_Age0_14_Male,AIAN_Age0_14_MaleRate,AIAN_Age15_24_Male,AIAN_Age15_24_MaleRate,AIAN_Age25_44_Male,AIAN_Age25_44_MaleRate,AIAN_Age45_64_Male,AIAN_Age45_64_MaleRate,AIAN_Age65Plus_Male,AIAN_Age65Plus_MaleRate,AIAN_Total_Female,AIAN_Total_FemaleRate,AIAN_Age0_14_Female,AIAN_Age0_14_FemaleRate,AIAN_Age15_24_Female,AIAN_Age15_24_FemaleRate,AIAN_Age25_44_Female,AIAN_Age25_44_FemaleRate,AIAN_Age45_64_Female,AIAN_Age45_64_FemaleRate,AIAN_Age45Plus_Female,AIAN_Age45Plus_FemaleRate,AIAN_Age65Plus_Female,AIAN_Age65Plus_FemaleRate,Other_notAIAN_Total,Other_notAIAN_TotalRate,Other_notAIAN_Age0_14,Other_notAIAN_Age0_14Rate,Other_notAIAN_Age15_24,Other_notAIAN_Age15_24Rate,Other_notAIAN_Age25_44,Other_notAIAN_Age25_44Rate,Other_notAIAN_Age45_64,Other_notAIAN_Age45_64Rate,Other_notAIAN_Age65Plus,Other_notAIAN_Age65PlusRate,Other_notAIAN_Total_Male,Other_notAIAN_Total_MaleRate,Other_notAIAN_Age0_14_Male,Other_notAIAN_Age0_14_MaleRate,Other_notAIAN_Age15_24_Male,Other_notAIAN_Age15_24_MaleRate,Other_notAIAN_Age25_44_Male,Other_notAIAN_Age25_44_MaleRate,Other_notAIAN_Age45_64_Male,Other_notAIAN_Age45_64_MaleRate,Other_notAIAN_Age65Plus_Male,Other_notAIAN_Age65Plus_MaleRate,Other_notAIAN_Total_Female,Other_notAIAN_Total_FemaleRate,Other_notAIAN_Age0_14_Female,Other_notAIAN_Age0_14_FemaleRate,Other_notAIAN_Age15_24_Female,Other_notAIAN_Age15_24_FemaleRate,Other_notAIAN_Age25_44_Female,Other_notAIAN_Age25_44_FemaleRate,Other_notAIAN_Age45_64_Female,Other_notAIAN_Age45_64_FemaleRate,Other_notAIAN_Age45Plus_Female,Other_notAIAN_Age45Plus_FemaleRate,Other_notAIAN_Age65Plus_Female,Other_notAIAN_Age65Plus_FemaleRate
Lung Cancer,Death,2011,City of Carlsbad,Municipal,CARLSBAD,1,NA,NA,37,35.03,31.73,,,,,,,8,25.71,29,209.27,20,38.73,40.46,,,,,,,,,16,258.57,17,31.49,25.36,,,,,,,,,17,71.52,13,169.42,34,43.85,,,,,,,7,27.9,27,228.99,20,52.23,,,,,,,,,16,301.51,14,35.71,,,,,,,,,14,72.57,11,169.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2011,City of Chula Vista,Municipal,CHULA VISTA,2,NA,NA,80,32.58,37.65,,,,,,,21,36.93,56,226.47,36,29.98,40.92,,,,,,,7,26.54,28,266.21,44,35.03,36.04,,,,,,,14,46.34,42,95.54,29,197.85,38,71.72,,,,,,,9,57.35,28,274.11,17,61.12,,,,,,,,,14,306.84,21,83.02,,,,,,,7,92.33,20,156.75,13,245.74,5,44.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,17.09,,,,,,,8,28.14,15,151.26,13,19.71,,,,,,,,,9,239.71,11,14.73,,,,,,,,,10,45.51,6,96.16,11,32.73,,,,,,,,,8,221.96,,,,,,,,,,,,,8,45.05,,,,,,,,,8,110.49,6,271.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2011,City of Coronado,Municipal,CORONADO,3,NA,NA,12,51.37,42.58,,,,,,,,,11,317.37,8,59.7,64.86,,,,,,,,,7,448.14,,,,,,,,,,,,,,,,12,70.33,,,,,,,,,11,347.33,8,83.34,,,,,,,,,7,487.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2011,City of Del Mar,Municipal,DEL MAR,4,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2011,City of El Cajon,Municipal,EL CAJON,5,NA,NA,47,47.07,45.21,,,,,,,14,51.98,33,270.95,29,59.43,63.75,,,,,,,10,76.08,19,368.49,18,35.2,31.4,,,,,,,,,18,87.05,14,198.46,41,67.29,,,,,,,10,50.93,31,310.72,25,81.42,,,,,,,7,74.81,17,398.54,17,53.56,,,,,,,,,17,108.44,14,243.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2011,City of Encinitas,Municipal,ENCINITAS,6,NA,NA,18,29.91,23.31,,,,,,,,,14,169.29,9,31.92,29.09,,,,,,,,,8,239.41,8,27.95,21.48,,,,,,,,,8,59.55,6,117.76,16,34.72,,,,,,,,,12,167.91,8,33.02,,,,,,,,,7,213.09,8,36.39,,,,,,,,,8,70.24,6,134.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2011,City of Escondido,Municipal,ESCONDIDO,7,NA,NA,60,41.09,44.51,,,,,,,10,27.99,50,304.03,32,44.66,56.47,,,,,,,,,29,404.74,27,37.57,35.87,,,,,,,6,35.63,27,100.53,21,226.97,48,73.74,,,,,,,8,38.22,40,319.37,25,78.27,,,,,,,,,23,414.49,23,69.36,,,,,,,6,51.83,23,127.63,17,245.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2011,City of Imperial Beach,Municipal,IMPERIAL BEACH,8,NA,NA,16,60.41,76.1,,,,,,,5,82.78,11,460.06,11,82.69,111.96,,,,,,,,,7,657.28,5,37.93,43.04,,,,,,,,,5,113.05,,,10,103.46,,,,,,,,,8,607.9,7,134.33,,,,,,,,,5,772.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2011,City of La Mesa,Municipal,LA MESA,9,NA,NA,28,48.58,40.6,,,,,,,6,42.57,22,260.17,15,52.03,52.3,,,,,,,,,10,307.45,14,45.38,32.1,,,,,,,,,14,105.23,12,229.72,27,72.79,,,,,,,5,48.96,21,300.91,15,82.21,,,,,,,,,10,364.29,12,63.98,,,,,,,,,12,120.98,11,259.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2011,City of Lemon Grove,Municipal,LEMON GROVE,10,NA,NA,7,27.47,27.68,,,,,,,,,6,207.25,,,,,,,,,,,,,,5,38.28,29.98,,,,,,,,,5,98.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2011,City of National City,Municipal,NATIONAL CITY,11,NA,NA,17,28.16,32.19,,,,,,,,,14,221.55,13,41.73,61.43,,,,,,,,,11,429.67,,,,,,,,,,,,,,,,7,81.54,,,,,,,,,6,443.19,6,109.47,,,,,,,,,5,807.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,18.75,,,,,,,,,6,211.47,5,27.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2011,City of Oceanside,Municipal,OCEANSIDE,12,NA,NA,70,41.66,37.86,,,,,,,11,26.58,59,269.23,36,43.54,46.29,,,,,,,5,24.86,31,335.83,34,39.83,31.8,,,,,,,6,28.19,34,100.17,28,220.81,51,62.25,,,,,,,7,28.5,44,269.57,24,59.07,,,,,,,,,21,298.08,27,65.37,,,,,,,,,27,124.79,23,247.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,13.34,,,,,,,,,5,170.64,5,16.83,,,,,,,,,,,,,,,,,,,,,,,,,7,53.49,,,,,,,,,7,397.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2011,City of Poway,Municipal,POWAY,13,NA,NA,16,33.15,33.72,,,,,,,,,15,248.47,7,29.47,38.19,,,,,,,,,7,267.89,9,36.71,31.5,,,,,,,,,9,78.71,8,233.64,15,45.32,,,,,,,,,14,285.6,6,36.55,,,,,,,,,6,277.78,9,53.94,,,,,,,,,9,102.05,8,291.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2011,City of San Diego,Municipal,SAN DIEGO,14,NA,NA,389,29.67,32.95,,,,,,,88,28.75,300,214.18,207,31.11,39.68,,,,,,,46,30.1,160,261.41,182,28.18,28.15,,,,,,,42,27.4,182,78.58,140,177.68,250,42.01,,,,,,,49,29.66,200,224.92,130,42.17,,,,,,,27,31.43,103,258.06,119,41.84,,,,,,,22,27.72,119,92.84,97,198.06,33,40.1,,,,,,,10,48.75,22,285.25,16,36.3,,,,,,,,,12,348.84,17,44.45,,,,,,,7,72.32,17,121.9,10,234.37,46,12.11,,,,,,,8,12.29,38,180.08,26,13.95,,,,,,,5,16.14,21,252.9,20,10.28,,,,,,,,,20,42.16,17,131.31,56,26.78,,,,,,,19,38.3,37,181.7,32,32.35,,,,,,,10,44.66,22,262.65,24,21.69,,,,,,,9,33.06,24,60.99,15,123.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2011,City of San Marcos,Municipal,SAN MARCOS,15,NA,NA,36,42.55,41.81,,,,,,,6,29.93,30,295.52,19,46.14,53.45,,,,,,,,,17,401.51,17,39.12,34.4,,,,,,,,,17,107.67,13,219.82,31,72.91,,,,,,,,,28,350.97,15,73.34,,,,,,,,,15,453.06,16,72.5,,,,,,,,,16,150.48,13,278.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2011,City of Santee,Municipal,SANTEE,16,NA,NA,22,40.74,44.67,,,,,,,5,32.37,16,263.95,13,49.91,65.04,,,,,,,,,10,397.64,9,32.2,30.59,,,,,,,,,9,77.4,6,169.19,20,50.92,,,,,,,,,15,293.97,13,67.82,,,,,,,,,10,467.8,7,34.82,,,,,,,,,7,74.62,5,168.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2011,City of Solana Beach,Municipal,SOLANA BEACH,17,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2011,City of Vista,Municipal,VISTA,18,NA,NA,29,30.5,35.39,,,,,,,,,24,253.78,12,25.91,37.06,,,,,,,,,11,274.63,16,35.18,33.98,,,,,,,,,16,99.11,13,237.9,25,57.52,,,,,,,,,21,288.91,10,46.63,,,,,,,,,9,286.68,15,68.45,,,,,,,,,15,133.6,12,290.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2011,Unincorporated,Municipal,UNINCORPORATED,19,NA,NA,205,41.73,42.03,,,,,,,46,35.85,158,266.88,117,46.7,52.18,,,,,,,31,49.03,85,315.64,88,36.54,32.65,,,,,,,15,23.29,88,89.72,73,225.79,177,62.61,,,,,,,39,43.83,137,291.65,99,68.22,,,,,,,26,58.94,73,332.18,77,56.63,,,,,,,13,29.03,77,110.41,64,256.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,8.08,,,,,,,,,10,143.61,7,10.03,,,,,,,,,6,202.69,,,,,,,,,,,,,,,5,19.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,115.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,ED Discharge,2017,San Diego County,NA,SAN DIEGO COUNTY,99,NA,NA,106,3.2,2.95,,,,,,,23,2.82,83,17.9,57,3.42,3.47,,,,,,,12,2.99,45,21.87,49,2.97,2.55,,,,,,,11,2.66,49,7.3,38,14.72,63,4.11,,,,,,,11,2.56,52,16.95,32,4.08,,,,,,,6,2.74,26,18.49,31,4.15,,,,,,,5,2.38,31,8.24,26,15.64,8,5.35,,,,,,,,,,,,,,,,,,,,,,,6,8.6,,,,,,,,,6,23.24,,,10,0.88,,,,,,,,,9,11.18,5,0.89,,,,,,,,,5,15.08,5,0.87,,,,,,,,,5,2.98,,,16,4.24,,,,,,,6,5.89,10,18.3,12,6.72,,,,,,,,,8,36.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6.58,,,,,,,,,6,134.02,5,9.37,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,ED Discharge,2017,Central Region,Region,CENTRAL,3,CENTRAL,NA,10,1.97,2.32,,,,,,,,,8,13.33,,,,,,,,,,,,,,6,2.43,2.44,,,,,,,,,6,6.67,5,15.11,6,3.67,,,,,,,,,5,17.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,ED Discharge,2017,Central San Diego,SRA,CENTRAL SAN DIEGO,1,CENTRAL,Supervisorial District 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,ED Discharge,2017,Mid-City,SRA,MID-CITY,6,CENTRAL,Supervisorial District 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,ED Discharge,2017,Southeastern San Diego,SRA,SOUTHEASTERN SAN DIEGO,5,CENTRAL,Supervisorial District 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,ED Discharge,2017,East Region,Region,EAST,5,EAST,NA,24,4.97,4.19,,,,,,,5,3.99,19,25.64,14,5.87,5.72,,,,,,,,,12,36.64,10,4.09,3.4,,,,,,,,,10,9.45,7,16.93,12,4.52,,,,,,,,,10,18,8,6.04,,,,,,,,,6,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,29.11,,,,,,,,,5,626.57,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,ED Discharge,2017,Alpine,SRA,ALPINE,38,EAST,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,ED Discharge,2017,El Cajon,SRA,EL CAJON,34,EAST,Supervisorial District 2,5,3.7,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
