CONDITION,OUTCOME,YEAR,Geography,SRANum,RegionNum,RegionName,UrbanicitySort,UrbanicityCat,SESSort,Socioeconomic_Category,SDNUM,Supervisor_District,Total_Cases,Total_Rate,Age_Adjusted_Rate,Male_Cases,Male_Rate,Female_Cases,Female_Rate,White_Cases,White_Rate,Black_Cases,Black_Rate,Hispanic_Cases,Hispanic_Rate,Asian_Pacific_Islander_Cases,Asian_Pacific_Islander_Rate,Other_Race_Ethnicity_Cases,Other_Race_Ethnicity_Rate,Age_Group_0_to_14_Cases,Age_Group_0_to_14_Rate,Age_Group_15_to_24_Cases,Age_Group_15_to_24_Rate,Age_Group_25_to_44_Cases,Age_Group_25_to_44_Rate,Age_Group_45_to_64_Cases,Age_Group_45_to_64_Rate,Age_Group_65Plus_Cases,Age_Group_65Plus_Rate
Lung Cancer,Death,2010,Del Mar-Mira Mesa,13,2,N CENTRAL,3,Suburban Area,6,Highest Income,3,Supervisorial District 3,34,21.57784843,30.36254719,18,22.76492684,16,20.38216561,22,28.96451846,,,,,11,20.02548698,,,,,,,,,7,15.62709291,26,190.9798737
Lung Cancer,Death,2010,Elliott-Navajo,17,2,N CENTRAL,2,Exurban Area,5,High Income,3,Supervisorial District 3,28,31.42324872,24.98547174,12,27.75593283,16,34.87966516,27,44.93484448,,,,,,,,,,,,,,,6,26.68089648,22,165.6003011
Lung Cancer,Death,2010,Kearny Mesa,10,2,N CENTRAL,4,Urban Area,3,Moderately Low Income,4,Supervisorial District 4,78,51.58457224,50.32345769,39,51.76052132,39,51.40981532,67,79.43753483,,,,,7,35.30895334,,,,,,,,,12,33.6813742,66,346.184107
Lung Cancer,Death,2010,Miramar,16,2,N CENTRAL,99,,99,,3,Supervisorial District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2010,Peninsula,2,2,N CENTRAL,4,Urban Area,3,Moderately Low Income,4,Supervisorial District 4,19,30.18939875,27.0195677,13,38.03060001,6,20.86738775,19,39.61386902,,,,,,,,,,,,,,,,,17,235.1964582
Lung Cancer,Death,2010,University,12,2,N CENTRAL,4,Urban Area,4,Moderately High Income,3,Supervisorial District 3,14,22.31893762,24.8112941,,,11,34.74744922,13,39.48247585,,,,,,,,,,,,,,,,,13,206.8416866
Lung Cancer,Death,2010,North Coastal Region,99,99,REGION N COASTAL,99,,99,,99,North Coastal Region,154,30.44410837,31.16784388,81,31.4156838,73,29.43405964,140,46.80082904,,,6,4.167477009,,,,,,,,,,,25,20.00608185,126,211.3987551
Lung Cancer,Death,2010,Carlsbad,41,1,N COASTAL,3,Suburban Area,5,High Income,5,Supervisorial District 5,35,30.51119325,23.72345131,15,26.89569848,20,33.93223732,32,37.92592593,,,,,,,,,,,,,,,5,15.32942944,30,168.406871
Lung Cancer,Death,2010,Oceanside,42,1,N COASTAL,3,Suburban Area,3,Moderately Low Income,5,Supervisorial District 5,61,38.19183571,40.29901191,33,41.6372262,28,34.79817061,53,71.38816303,,,,,,,,,,,,,,,10,25.55975872,50,271.1790867
Lung Cancer,Death,2010,Pendleton,43,1,N COASTAL,99,,99,,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2010,San Dieguito,40,1,N COASTAL,2,Exurban Area,6,Highest Income,3,Supervisorial District 3,23,24.59156616,19.3859019,9,19.56011475,14,29.46375958,22,29.99686396,,,,,,,,,,,,,,,,,19,143.6347142
Lung Cancer,Death,2010,Vista,52,1,N COASTAL,3,Suburban Area,2,Low Income,5,Supervisorial District 5,35,34.84910338,41.54595968,24,47.33634445,11,22.11855546,33,75.24626049,,,,,,,,,,,,,,,6,25.46257002,27,267.485635
Lung Cancer,Death,2010,North Inland Region,99,99,REGION N INLAND,99,,99,,99,North Inland Region,202,35.46921202,33.46462741,99,35.29449513,103,35.63878191,176,55.91099985,,,9,5.487135715,13,21.97467841,,,,,,,,,40,26.26205593,160,221.7571482
Lung Cancer,Death,2010,Anza-Borrego Springs,63,6,N INLAND,1,Rural Area,1,Lowest Income,5,Supervisorial District 5,7,157.6576577,92.77259334,,,5,227.8942571,7,249.7324295,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2010,Escondido,50,6,N INLAND,2,Exurban Area,3,Moderately Low Income,3,Supervisorial District 3,66,40.48558161,44.31642318,34,42.04226484,32,38.95313451,56,78.76230661,,,,,5,48.96200548,,,,,,,,,13,33.86033912,53,302.4078512
Lung Cancer,Death,2010,Fallbrook,55,6,N INLAND,1,Rural Area,4,Moderately High Income,5,Supervisorial District 5,20,42.27972265,31.84067705,10,42.4664515,10,42.09462873,19,69.58432522,,,,,,,,,,,,,,,,,17,207.7223851
Lung Cancer,Death,2010,North San Diego,14,6,N INLAND,3,Suburban Area,6,Highest Income,3,Supervisorial District 3,28,26.28071559,25.47489933,13,25.24418898,15,27.25043147,24,38.30316959,,,,,,,,,,,,,,,5,17.27235042,21,163.0434783
Lung Cancer,Death,2010,Palomar-Julian,60,6,N INLAND,1,Rural Area,2,Low Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2010,Pauma,54,6,N INLAND,1,Rural Area,5,High Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2010,Poway,15,6,N INLAND,2,Exurban Area,6,Highest Income,2,Supervisorial District 2,28,32.44082446,30.83511162,13,30.82760256,15,33.98201219,22,37.95459251,,,,,,,,,,,,,,,,,24,221.8114603
Lung Cancer,Death,2010,Ramona,39,6,N INLAND,1,Rural Area,5,High Income,2,Supervisorial District 2,13,37.28133066,37.21793082,7,39.9247134,6,34.60806368,11,44.29232937,,,,,,,,,,,,,,,5,45.3802868,8,214.0181915
Lung Cancer,Death,2010,San Marcos,51,6,N INLAND,3,Suburban Area,3,Moderately Low Income,5,Supervisorial District 5,26,28.90012783,26.55054094,11,25.00227293,15,32.6306859,26,57.22208773,,,,,,,,,,,,,,,,,23,195.5449753
Lung Cancer,Death,2010,Valley Center,53,6,N INLAND,1,Rural Area,5,High Income,5,Supervisorial District 5,10,42.86326618,30.17476683,6,51.24701059,,,9,60.14836597,,,,,,,,,,,,,,,,,7,185.1851852
Lung Cancer,Death,2010,South Region,99,99,REGION SOUTH,99,,99,,99,South Region,170,36.28718102,42.00412547,100,42.72080247,70,29.86258943,87,88.65609587,,,57,20.52382564,22,36.97230438,,,,,,,,,37,34.90170924,131,269.7582472
Lung Cancer,Death,2010,Chula Vista,21,4,SOUTH,5,Very Urban Area,1,Lowest Income,1,Supervisorial District 1,65,56.40696322,54.84193952,37,66.61745377,28,46.90667247,38,177.8859657,,,23,28.27810906,,,,,,,,,,,16,60.4663467,49,337.605071
Lung Cancer,Death,2010,Coronado,3,4,SOUTH,2,Exurban Area,6,Highest Income,1,Supervisorial District 1,10,40.48746913,35.95696664,,,9,88.62629247,9,50.23442733,,,,,,,,,,,,,,,,,9,258.5463947
Lung Cancer,Death,2010,National City,4,4,SOUTH,5,Very Urban Area,1,Lowest Income,1,Supervisorial District 1,27,46.29788402,52.74958871,21,69.9930007,6,21.19018188,8,117.7682909,,,9,24.23589605,9,85.38899431,,,,,,,,,6,50.03752815,20,324.4646334
Lung Cancer,Death,2010,South Bay,22,4,SOUTH,3,Suburban Area,2,Low Income,1,Supervisorial District 1,49,36.31943312,45.88307468,35,51.42521305,14,20.94115535,22,107.1863581,,,21,22.71940454,5,38.27604685,,,,,,,,,10,32.68080656,38,294.4823311
Lung Cancer,Death,2010,Sweetwater,20,4,SOUTH,3,Suburban Area,6,Highest Income,1,Supervisorial District 1,19,14.0407922,19.99957337,6,9.100561201,13,18.734688,10,31.70979198,,,,,,,,,,,,,,,,,15,130.4461258
Lung Cancer,Death,2010,Unknown,99,99,UNKNOWN,99,,99,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2011,San Diego County (Actual Rate),0,0,COUNTY,99,,99,,99,County Total,1098,35.23963271,36.19591853,589,37.68900492,509,32.77485158,814,54.42697224,52,36.38781008,119,11.77303954,95,27.24217433,17,14.42940203,,,,,6,0.673457362,237,30.74049574,855,236.2478862
Lung Cancer,Death,2011,Central Region,99,99,REGION CENTRAL,99,,99,,99,Central Region,144,29.65599051,37.53796048,83,33.45479169,61,25.68723892,73,51.29466325,24,43.74931642,17,8.180155904,30,46.47848046,,,,,,,,,41,37.77757302,102,231.4919886
Lung Cancer,Death,2011,Central San Diego,1,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,53,31.93425159,39.19619526,36,39.74255655,17,22.55150365,34,41.53940134,8,71.98128487,5,8.525439913,6,69.60556845,,,,,,,,,11,28.44729492,42,261.6985482
Lung Cancer,Death,2011,Mid-City,6,3,CENTRAL,5,Very Urban Area,1,Lowest Income,4,Supervisorial District 4,38,23.28488443,33.67239669,20,24.60872133,18,21.97158342,26,56.8330856,,,,,6,25.22492222,,,,,,,,,12,35.84015292,25,193.6933447
Lung Cancer,Death,2011,Southeastern San Diego,5,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,53,33.88616805,39.80213061,27,35.41401608,26,32.43310672,13,88.33322009,13,52.11047421,9,11.30511242,18,56.00497822,,,,,,,,,18,49.47773502,35,231.6960148
Lung Cancer,Death,2011,East Region,99,99,REGION EAST,99,,99,,99,East Region,220,47.14454088,44.7470825,127,55.26761274,93,39.26386584,194,69.52782009,5,19.19606865,11,9.248827081,,,6,27.99552072,,,,,,,61,47.39483785,157,268.4173634
Lung Cancer,Death,2011,Alpine,38,5,EAST,1,Rural Area,5,High Income,2,Supervisorial District 2,6,39.58044726,34.3224055,,,,,5,42.50616339,,,,,,,,,,,,,,,,,5,224.6181491
Lung Cancer,Death,2011,El Cajon,34,5,EAST,4,Urban Area,2,Low Income,2,Supervisorial District 2,43,34.32777436,33.79223243,27,44.01264956,16,25.03246398,36,48.96626768,,,,,,,,,,,,,,,14,43.69947248,29,191.7355372
Lung Cancer,Death,2011,Harbison Crest/El Cajon,37,5,EAST,99,,99,,2,Supervisorial District 2,74,52.84430924,49.48853168,46,66.9441453,28,39.25967471,66,77.52666447,,,,,,,,,,,,,,,23,61.71680039,51,287.9566371
Lung Cancer,Death,2011,Jamul,30,5,EAST,1,Rural Area,6,Highest Income,2,Supervisorial District 2,12,68.26715212,68.78997441,9,89.0736342,,,11,115.0868383,,,,,,,,,,,,,,,,,8,408.3716182
Lung Cancer,Death,2011,La Mesa,33,5,EAST,4,Urban Area,2,Low Income,2,Supervisorial District 2,34,56.67989197,46.39229951,18,62.87770287,16,51.02203514,32,85.80698791,,,,,,,,,,,,,,,8,50.99114029,26,293.6194241
Lung Cancer,Death,2011,Laguna-Pine Valley,61,5,EAST,1,Rural Area,3,Moderately Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2011,Lakeside,36,5,EAST,2,Exurban Area,3,Moderately Low Income,2,Supervisorial District 2,35,62.09637357,62.97670894,19,68.15898981,16,56.16399888,32,78.29129254,,,,,,,,,,,,,,,10,61.68270417,25,392.6495995
Lung Cancer,Death,2011,Lemon Grove,32,5,EAST,5,Very Urban Area,2,Low Income,2,Supervisorial District 2,7,23.37306755,23.52093051,,,5,32.50130005,,,,,,,,,,,,,,,,,,,6,175.5412522
Lung Cancer,Death,2011,Mountain Empire,62,5,EAST,1,Rural Area,2,Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2011,Santee,35,5,EAST,3,Suburban Area,4,Moderately High Income,2,Supervisorial District 2,22,42.55895382,45.56050521,13,51.95012788,9,33.74704713,20,52.39030779,,,,,,,,,,,,,,,5,33.326668,16,264.5502646
Lung Cancer,Death,2011,Spring Valley,31,5,EAST,4,Urban Area,4,Moderately High Income,2,Supervisorial District 2,24,29.3621082,29.32710901,13,32.69124378,11,26.20794816,19,49.66281562,,,,,,,,,,,,,,,6,27.57099531,18,182.7411168
Lung Cancer,Death,2011,North Central Region,99,99,REGION N CENTRAL,99,,99,,99,North Central Region,182,29.84854324,29.59558249,88,28.52956052,94,31.19886622,147,40.25202698,8,42.78990158,11,12.53661261,14,12.55661689,,,,,,,,,35,24.22597994,147,199.5195244
Lung Cancer,Death,2011,Coastal,11,2,N CENTRAL,3,Suburban Area,5,High Income,4,Supervisorial District 4,19,25.14724373,16.02375673,10,25.67987468,9,24.58076146,18,29.69023191,,,,,,,,,,,,,,,,,16,126.8431901
Lung Cancer,Death,2011,Del Mar-Mira Mesa,13,2,N CENTRAL,3,Suburban Area,6,Highest Income,3,Supervisorial District 3,34,21.45354047,28.02231712,13,16.37197119,21,26.55605858,18,23.75328257,,,,,11,19.72032987,,,,,,,,,10,21.87274437,24,166.9449082
Lung Cancer,Death,2011,Elliott-Navajo,17,2,N CENTRAL,2,Exurban Area,5,High Income,3,Supervisorial District 3,31,34.66592116,28.74151497,13,29.96151098,18,39.09983491,28,46.7484765,,,,,,,,,,,,,,,5,22.13074846,26,190.2531831
Lung Cancer,Death,2011,Kearny Mesa,10,2,N CENTRAL,4,Urban Area,3,Moderately Low Income,4,Supervisorial District 4,74,48.78177407,46.25753758,37,48.96576367,37,48.59916199,63,75.05092742,,,6,17.60821717,,,,,,,,,,,15,41.50181225,59,304.3747421
Lung Cancer,Death,2011,Miramar,16,2,N CENTRAL,99,,99,,3,Supervisorial District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2011,Peninsula,2,2,N CENTRAL,4,Urban Area,3,Moderately Low Income,4,Supervisorial District 4,14,22.20107834,21.10465567,10,29.0917554,,,13,27.25081228,,,,,,,,,,,,,,,,,13,179.5332136
Lung Cancer,Death,2011,University,12,2,N CENTRAL,4,Urban Area,4,Moderately High Income,3,Supervisorial District 3,10,15.04166541,20.03019856,5,15.18833536,5,14.89780108,7,20.46424604,,,,,,,,,,,,,,,,,9,140.8010013
Lung Cancer,Death,2011,North Coastal Region,99,99,REGION N COASTAL,99,,99,,99,North Coastal Region,165,32.36391953,31.6916415,84,32.34750462,81,32.38096,135,45.14672686,,,12,8.175166569,12,38.77597182,,,,,,,,,28,22.08254139,137,222.2690916
Lung Cancer,Death,2011,Carlsbad,41,1,N COASTAL,3,Suburban Area,5,High Income,5,Supervisorial District 5,37,31.93619666,23.90294619,20,35.51388593,17,28.55223379,34,40.15020902,,,,,,,,,,,,,,,8,24.13928367,29,156.9773736
Lung Cancer,Death,2011,Oceanside,42,1,N COASTAL,3,Suburban Area,3,Moderately Low Income,5,Supervisorial District 5,70,43.72403885,44.45570457,36,45.30809505,34,42.16322127,51,69.2032132,,,8,13.16092521,7,56.43795856,,,,,,,,,11,27.97914282,59,315.0699562
Lung Cancer,Death,2011,Pendleton,43,1,N COASTAL,99,,99,,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2011,San Dieguito,40,1,N COASTAL,2,Exurban Area,6,Highest Income,3,Supervisorial District 3,24,25.29084471,20.02110929,13,27.8593318,11,22.80596272,21,28.37339386,,,,,,,,,,,,,,,,,20,143.2562137
Lung Cancer,Death,2011,Vista,52,1,N COASTAL,3,Suburban Area,2,Low Income,5,Supervisorial District 5,34,33.55406646,38.70471084,15,29.34559327,19,37.83805313,29,66.46650317,,,,,,,,,,,,,,,5,20.75722351,29,278.6318217
Lung Cancer,Death,2011,North Inland Region,99,99,REGION N INLAND,99,,99,,99,North Inland Region,215,37.4196131,35.27342366,109,38.51209068,106,36.35902132,181,57.66553353,,,14,8.313934154,13,21.46985962,,,,,,,,,32,20.71049958,183,245.1768489
Lung Cancer,Death,2011,Anza-Borrego Springs,63,6,N INLAND,1,Rural Area,1,Lowest Income,5,Supervisorial District 5,7,149.9892865,61.21755861,5,212.7659574,,,7,248.0510276,,,,,,,,,,,,,,,,,6,405.9539919
Lung Cancer,Death,2011,Escondido,50,6,N INLAND,2,Exurban Area,3,Moderately Low Income,3,Supervisorial District 3,70,42.62340999,47.93153056,37,45.40434409,33,39.88445594,57,80.81209062,,,5,6.603275225,,,,,,,,,,,12,30.66857493,58,325.3491894
Lung Cancer,Death,2011,Fallbrook,55,6,N INLAND,1,Rural Area,4,Moderately High Income,5,Supervisorial District 5,18,37.60026738,28.06328548,7,29.34887426,11,45.79326423,15,55.08225617,,,,,,,,,,,,,,,,,16,187.7493546
Lung Cancer,Death,2011,North San Diego,14,6,N INLAND,3,Suburban Area,6,Highest Income,3,Supervisorial District 3,35,32.52334712,31.42286974,14,26.90600196,21,37.78201576,26,41.39731873,,,,,8,30.4495109,,,,,,,,,6,20.33209082,29,217.8976632
Lung Cancer,Death,2011,Palomar-Julian,60,6,N INLAND,1,Rural Area,2,Low Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2011,Pauma,54,6,N INLAND,1,Rural Area,5,High Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2011,Poway,15,6,N INLAND,2,Exurban Area,6,Highest Income,2,Supervisorial District 2,18,20.71322539,19.93954118,9,21.20141343,9,20.24701357,17,29.33715292,,,,,,,,,,,,,,,,,16,142.0959147
Lung Cancer,Death,2011,Ramona,39,6,N INLAND,1,Rural Area,5,High Income,2,Supervisorial District 2,11,31.04450653,37.10382456,8,44.94887066,,,11,43.96131404,,,,,,,,,,,,,,,,,11,274.1091453
Lung Cancer,Death,2011,San Marcos,51,6,N INLAND,3,Suburban Area,3,Moderately Low Income,5,Supervisorial District 5,39,43.2430035,39.39393288,20,45.33502584,19,41.23979858,34,75.66653314,,,,,,,,,,,,,,,6,28.98130706,33,277.1711742
Lung Cancer,Death,2011,Valley Center,53,6,N INLAND,1,Rural Area,5,High Income,5,Supervisorial District 5,11,46.89031928,36.34835921,5,42.48810333,6,51.32152938,10,67.43088334,,,,,,,,,,,,,,,,,11,274.9312672
Lung Cancer,Death,2011,South Region,99,99,REGION SOUTH,99,,99,,99,South Region,169,35.99919055,40.56341691,97,41.49856894,72,30.54575075,81,84.25300866,8,42.55545508,54,19.20963043,23,38.34995165,,,,,,,,,38,35.20050392,128,259.1040667
Lung Cancer,Death,2011,Chula Vista,21,4,SOUTH,5,Very Urban Area,1,Lowest Income,1,Supervisorial District 1,63,54.35110816,51.06086811,27,48.36282869,36,59.91512025,30,143.3212307,,,20,24.23508028,8,131.9478806,,,,,,,,,13,48.25896503,49,334.06054
Lung Cancer,Death,2011,Coronado,3,4,SOUTH,2,Exurban Area,6,Highest Income,1,Supervisorial District 1,12,51.43812422,41.59688616,8,59.83097749,,,12,70.27818448,,,,,,,,,,,,,,,,,11,310.64671
Lung Cancer,Death,2011,National City,4,4,SOUTH,5,Very Urban Area,1,Lowest Income,1,Supervisorial District 1,17,29.06430049,33.25993917,13,43.3188937,,,7,106.2054316,,,7,18.63734391,,,,,,,,,,,,,14,230.3389273
Lung Cancer,Death,2011,South Bay,22,4,SOUTH,3,Suburban Area,2,Low Income,1,Supervisorial District 1,54,39.96270148,48.91424459,37,54.37178545,17,25.34438547,20,99.42828735,,,22,23.58490566,9,68.89161053,,,,,,,,,12,38.8173643,42,318.1818182
Lung Cancer,Death,2011,Sweetwater,20,4,SOUTH,3,Suburban Area,6,Highest Income,1,Supervisorial District 1,23,16.83797476,20.32480251,12,18.04945551,11,15.68918302,12,38.1849424,,,5,7.748214037,,,,,,,,,,,9,27.35728616,12,100.7218399
Lung Cancer,Death,2011,Unknown,99,99,UNKNOWN,99,,99,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2012,San Diego County (Actual Rate),0,0,COUNTY,99,,99,,99,County Total,1085,34.51644685,35.21099363,552,35.02664754,533,34.00349349,815,54.61295165,53,38.02472324,102,9.852921005,92,25.84741596,20,16.58856219,,,,,11,1.235884236,236,30.49560527,838,223.7441094
Lung Cancer,Death,2012,Central Region,99,99,REGION CENTRAL,99,,99,,99,Central Region,158,32.32696888,40.5338869,86,34.46755641,72,30.09454704,80,56.49757414,32,60.32386374,29,13.65612006,14,21.42081185,,,,,,,,,50,45.70091493,104,230.5577725
Lung Cancer,Death,2012,Central San Diego,1,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,64,38.36470447,44.65121713,30,33.00983693,34,44.77336775,45,55.25268896,7,65.16477379,11,18.33302778,,,,,,,,,,,20,51.20458793,43,257.9329374
Lung Cancer,Death,2012,Mid-City,6,3,CENTRAL,5,Very Urban Area,1,Lowest Income,4,Supervisorial District 4,43,26.07593555,37.71850533,27,32.88391976,16,19.32460505,29,63.57000373,,,,,7,28.92442461,,,,,,,,,16,46.99110106,27,205.1827646
Lung Cancer,Death,2012,Southeastern San Diego,5,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,51,32.47725,39.05797977,29,37.89809333,22,27.32511924,6,41.27682994,22,91.95402299,14,17.26519337,7,21.61828289,,,,,,,,,14,38.56855561,34,222.5422176
Lung Cancer,Death,2012,East Region,99,99,REGION EAST,99,,99,,99,East Region,193,41.06514038,38.39277429,98,42.31762399,95,39.84849184,163,58.59536486,7,27.4833137,11,8.964078493,10,46.21285642,,,,,,,,,40,31.20514261,152,248.0620155
Lung Cancer,Death,2012,Alpine,38,5,EAST,1,Rural Area,5,High Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2012,El Cajon,34,5,EAST,4,Urban Area,2,Low Income,2,Supervisorial District 2,38,30.14748467,28.49865608,18,29.12809891,20,31.12792019,34,46.3809238,,,,,,,,,,,,,,,9,28.11357886,29,185.3864348
Lung Cancer,Death,2012,Harbison Crest/El Cajon,37,5,EAST,99,,99,,2,Supervisorial District 2,63,44.70748531,41.58734971,30,43.33882292,33,46.0289564,57,67.16312391,,,,,,,,,,,,,,,12,32.2997416,51,277.339714
Lung Cancer,Death,2012,Jamul,30,5,EAST,1,Rural Area,6,Highest Income,2,Supervisorial District 2,8,44.25023508,38.93309304,5,48.1139338,,,7,72.21706386,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2012,La Mesa,33,5,EAST,4,Urban Area,2,Low Income,2,Supervisorial District 2,34,56.36604775,48.26831514,18,62.48698188,16,50.77108587,28,75.43509887,,,,,,,,,,,,,,,,,30,330.7242862
